,Unnamed: 0,topic_urls,basic_topic_category
0,0,https://www.zhihu.com/topic/19555513,生活方式
1,1,https://www.zhihu.com/topic/19551556,生活方式
2,2,https://www.zhihu.com/topic/19551137,生活方式
3,3,https://www.zhihu.com/topic/19551469,生活方式
4,4,https://www.zhihu.com/topic/19641262,生活方式
5,5,https://www.zhihu.com/topic/19551052,生活方式
6,6,https://www.zhihu.com/topic/19560585,生活方式
7,7,https://www.zhihu.com/topic/19554051,生活方式
8,8,https://www.zhihu.com/topic/19551805,生活方式
9,9,https://www.zhihu.com/topic/19552249,生活方式
10,10,https://www.zhihu.com/topic/19562435,生活方式
11,11,https://www.zhihu.com/topic/19628469,生活方式
12,12,https://www.zhihu.com/topic/19551167,生活方式
13,13,https://www.zhihu.com/topic/19555754,生活方式
14,14,https://www.zhihu.com/topic/19571906,生活方式
15,15,https://www.zhihu.com/topic/19557244,生活方式
16,16,https://www.zhihu.com/topic/19551151,生活方式
17,17,https://www.zhihu.com/topic/19559947,生活方式
18,18,https://www.zhihu.com/topic/19551387,生活方式
19,19,https://www.zhihu.com/topic/19570261,生活方式
20,20,https://www.zhihu.com/topic/19588303,生活方式
21,21,https://www.zhihu.com/topic/19588303,生活方式
22,22,https://www.zhihu.com/topic/19865724,生活方式
23,23,https://www.zhihu.com/topic/19865724,生活方式
24,24,https://www.zhihu.com/topic/19559450,生活方式
25,25,https://www.zhihu.com/topic/19559450,生活方式
26,0,https://www.zhihu.com/topic/19560170,经济学
27,1,https://www.zhihu.com/topic/19656289,经济学
28,2,https://www.zhihu.com/topic/19567962,经济学
29,3,https://www.zhihu.com/topic/19564158,经济学
30,4,https://www.zhihu.com/topic/19587288,经济学
31,5,https://www.zhihu.com/topic/19599303,经济学
32,6,https://www.zhihu.com/topic/19605779,经济学
33,7,https://www.zhihu.com/topic/19600089,经济学
34,8,https://www.zhihu.com/topic/19700600,经济学
35,9,https://www.zhihu.com/topic/19554569,经济学
36,10,https://www.zhihu.com/topic/19806279,经济学
37,11,https://www.zhihu.com/topic/20013785,经济学
38,12,https://www.zhihu.com/topic/19646372,经济学
39,13,https://www.zhihu.com/topic/19628686,经济学
40,14,https://www.zhihu.com/topic/19712657,经济学
41,15,https://www.zhihu.com/topic/19583975,经济学
42,16,https://www.zhihu.com/topic/19556368,经济学
43,17,https://www.zhihu.com/topic/19967967,经济学
44,18,https://www.zhihu.com/topic/19668315,经济学
45,19,https://www.zhihu.com/topic/19641972,经济学
46,20,https://www.zhihu.com/topic/19644107,经济学
47,21,https://www.zhihu.com/topic/19644113,经济学
48,22,https://www.zhihu.com/topic/19592999,经济学
49,23,https://www.zhihu.com/topic/19577900,经济学
50,24,https://www.zhihu.com/topic/19720693,经济学
51,25,https://www.zhihu.com/topic/19676263,经济学
52,26,https://www.zhihu.com/topic/19612811,经济学
53,27,https://www.zhihu.com/topic/19570700,经济学
54,28,https://www.zhihu.com/topic/19675867,经济学
55,29,https://www.zhihu.com/topic/19558853,经济学
56,30,https://www.zhihu.com/topic/19571449,经济学
57,31,https://www.zhihu.com/topic/19685970,经济学
58,32,https://www.zhihu.com/topic/19745774,经济学
59,33,https://www.zhihu.com/topic/19659933,经济学
60,34,https://www.zhihu.com/topic/19659932,经济学
61,35,https://www.zhihu.com/topic/19585237,经济学
62,36,https://www.zhihu.com/topic/19582440,经济学
63,37,https://www.zhihu.com/topic/19588303,经济学
64,38,https://www.zhihu.com/topic/19588303,经济学
65,39,https://www.zhihu.com/topic/19865724,经济学
66,40,https://www.zhihu.com/topic/19865724,经济学
